№,Название стихотворения,H бит,Число начальных букв с нулевыми частотами,Количество слов в стихотворении,Частоты слов на начальные буквы в,Частоты слов на начальные буквы н,Частоты слов на начальные буквы с
733,На выздоровление Лукулла. Подражание Латинскому,4.1553,5,207,0.1304,0.0580,0.0966
734,Когда владыка ассирийский,3.6634,9,147,0.1633,0.0816,0.1361
735,Пир Петра Первого,4.1478,4,188,0.1064,0.0691,0.0691
736,На это скажут мне с улыбкою неверной:,3.8144,11,45,0.1111,0.1111,0.1778
737,Подражание Арабскому,3.3657,16,38,0.0526,0.1579,0.1053
738,"– Не видала ль, девица,",3.3241,17,33,0.0909,0.0606,0.0000
739,Стихотворение 753,1.0000,27,2,0.0000,0.0000,0.5000
740,Д. В. Давыдову,3.7844,11,69,0.1014,0.0870,0.0580
741,Художнику,3.7781,13,79,0.1266,0.0380,0.0633
742,Мирская власть,3.9512,9,121,0.0992,0.0661,0.0744
743,<Подражание Италиянскому.>,3.7518,12,66,0.1212,0.0758,0.1364
744,"Напрасно я бегу к сионским высотам,",3.6574,14,26,0.0769,0.0769,0.1154
745,(Из Пиндемонти.),4.0517,7,131,0.0992,0.1069,0.1298
746,"Отцы пустынники и жены непорочны,",3.8482,11,96,0.0729,0.1042,0.0938
747,"Когда за городом, задумчив, я брожу",4.1332,6,162,0.0926,0.1111,0.0988
748,«Я памятник себе воздвиг нерукотворный…»,4.0431,7,132,0.1364,0.1136,0.0758
749,Родословная моего героя,4.2280,3,517,0.1141,0.0716,0.1064
750,От западных морей до самых врат восточных,3.7347,12,56,0.1607,0.0536,0.0357
751,<Кн. Козловскому.>,4.0769,7,67,0.0299,0.0597,0.1493
752,Была пора: наш праздник молодой,4.0843,6,333,0.0811,0.1021,0.1081
753,На статую играющего в свайку,3.6771,14,33,0.0606,0.0606,0.1212
754,На статую играющего в бабки,3.8278,13,32,0.0938,0.1250,0.0312
755,Альфонс садится на коня;,4.0905,6,205,0.1220,0.0878,0.0780
756,"Забыв и рощу и свободу,",3.5033,16,18,0.0556,0.1111,0.0556
757,<Из письма к Яковлеву>,3.5737,15,25,0.0400,0.1200,0.1600
758,От меня вечор Леила,3.9247,11,46,0.0652,0.1304,0.1304
759,Стихотворения 1814–1836 гг,3.7672,14,26,0.0769,0.0385,0.0769
760,Золото и булат,2.6101,22,19,0.2632,0.0000,0.2105
761,"Не знаю где, но не у нас,",4.0046,10,72,0.0417,0.1389,0.0972
762,Русскому Геснеру,3.7264,12,46,0.0652,0.0652,0.0435
763,<Щербинину.>,3.7845,13,36,0.1389,0.1111,0.0833
764,Твои догадки – сущий вздор:,3.4316,17,19,0.1579,0.1053,0.1053
765,Когда Потемкину в потемках,2.7778,20,17,0.1176,0.1765,0.0588
766,"Когда так нежно, так сердечно,",3.7158,12,43,0.2093,0.0465,0.1395
767,Стихотворение 782,1.0000,27,2,0.0000,0.0000,0.5000
768,Зачем я ею очарован?,4.0231,9,50,0.0600,0.1400,0.0800
769,"Ты просвещением свой разум осветил,",3.8294,11,71,0.1127,0.1127,0.0845
770,Родриг,3.9685,8,136,0.0809,0.0956,0.1397
771,"О нет, мне жизнь не надоела,",3.5275,16,32,0.0938,0.1562,0.0625
